Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Steps (count)
9/22/17 0:00,9/23/17 0:00,67.897,1.132237134,2,90,2345
9/23/17 0:00,9/24/17 0:00,0.257,0.038841913,0,0,93
9/24/17 0:00,9/25/17 0:00,468.387,5.846723883,5,176,9990
9/25/17 0:00,9/26/17 0:00,93.523,1.07491296,2,115,2277.753178
9/26/17 0:00,9/27/17 0:00,259.594,2.677941374,1,130,5736
9/27/17 0:00,9/28/17 0:00,170.604,1.90406372,1,100,4096
9/28/17 0:00,9/29/17 0:00,807.119,4.613801901,8,138,9781
9/29/17 0:00,9/30/17 0:00,898.8750061,4.57176931,3,127,7990
9/30/17 0:00,10/1/17 0:00,274.9066384,2.403901574,4,98,5056.023358
10/1/17 0:00,10/2/17 0:00,20.83636162,0.314454626,1,205,673.9766422
10/2/17 0:00,10/3/17 0:00,199.192,1.88266367,3,132,3928
10/3/17 0:00,10/4/17 0:00,368.466,3.693501252,5,113,7473
10/4/17 0:00,10/5/17 0:00,157.931,1.38192715,4,120,2942
10/5/17 0:00,10/6/17 0:00,391.263,4.039150205,1,130,8668
10/6/17 0:00,10/7/17 0:00,418.942,5.071202403,3,172,9339
10/7/17 0:00,10/8/17 0:00,0,0.033461525,0,0,88
10/8/17 0:00,10/9/17 0:00,299.721,2.853974944,8,131,6107.985717
10/9/17 0:00,10/10/17 0:00,0,0.074854708,0,0,191
10/10/17 0:00,10/11/17 0:00,174.192,1.89672977,2,115,3964
10/11/17 0:00,10/12/17 0:00,158.392,1.539837036,2,99,3205
10/12/17 0:00,10/13/17 0:00,107.651,1.142375306,0,94,2425
10/13/17 0:00,10/14/17 0:00,1223.935005,4.871786644,5,186,8802.473175
10/14/17 0:00,10/15/17 0:00,0,0.124088405,1,0,299
10/15/17 0:00,10/16/17 0:00,0,0.439739545,2,0,1084.619251
10/16/17 0:00,10/17/17 0:00,116.755,1.208818567,0,138,2510.094462
10/17/17 0:00,10/18/17 0:00,184.022,1.858839013,2,144,3923
10/18/17 0:00,10/19/17 0:00,298.974,3.000017229,3,107,6420
10/19/17 0:00,10/20/17 0:00,90.337,0.746811993,2,94,1638
10/20/17 0:00,10/21/17 0:00,0,0.176223348,1,0,477.4367542
10/21/17 0:00,10/22/17 0:00,0,0.027602248,0,0,69.56324578
10/22/17 0:00,10/23/17 0:00,0,0.036794236,0,0,88
10/23/17 0:00,10/24/17 0:00,198.965,1.902343754,3,117,4082
10/24/17 0:00,10/25/17 0:00,96.955,1.522811273,3,122,3573
10/25/17 0:00,10/26/17 0:00,143.066,1.700185322,2,104,3567
10/26/17 0:00,10/27/17 0:00,234.66,2.011715821,1,110,4282
10/27/17 0:00,10/28/17 0:00,89.473,0.873406323,0,154,1920
10/28/17 0:00,10/29/17 0:00,156.233,1.86784592,1,112,3898
10/29/17 0:00,10/30/17 0:00,0.164,0.042696933,0,105,114
10/30/17 0:00,10/31/17 0:00,141.783,1.336347574,3,110,2790.027568
10/31/17 0:00,11/1/17 0:00,391.438,4.533531355,3,196,8505.284022
11/1/17 0:00,11/2/17 0:00,150.16,1.501857469,2,104,3197
11/2/17 0:00,11/3/17 0:00,278.598,3.167383334,4,137,6588
11/3/17 0:00,11/4/17 0:00,72.2950702,0.372760456,1,102,786
11/4/17 0:00,11/5/17 0:00,22.2499298,0.545217765,1,113,1384
11/5/17 0:00,11/6/17 0:00,305.657,3.400114491,0,117,7344.808528
11/6/17 0:00,11/7/17 0:00,1.639,1.623592768,4,183,4334
11/7/17 0:00,11/8/17 0:00,241.623,2.594697732,0,158,5442
11/8/17 0:00,11/9/17 0:00,459.325,5.67596251,3,140,9943
11/9/17 0:00,11/10/17 0:00,117.322,1.070967845,2,99,2435
11/10/17 0:00,11/11/17 0:00,424.544,5.121404938,2,173,9294.656778
11/11/17 0:00,11/12/17 0:00,0,0.119117754,0,0,303
11/12/17 0:00,11/13/17 0:00,0,0.045533394,0,0,109
11/13/17 0:00,11/14/17 0:00,260.726,2.901521593,2,136,6192.983231
11/14/17 0:00,11/15/17 0:00,465.197,5.508056539,5,186,10168.23265
11/15/17 0:00,11/16/17 0:00,76.426,1.204082775,1,128,2728.090356
11/16/17 0:00,11/17/17 0:00,2.101,0.613239088,1,161,1541.789231
11/17/17 0:00,11/18/17 0:00,0.11,1.292187485,5,0,3268
11/18/17 0:00,11/19/17 0:00,0,0.033723133,0,0,91
11/19/17 0:00,11/20/17 0:00,110.771,1.143667189,1,125,2462.719122
11/20/17 0:00,11/21/17 0:00,166.395,1.404434469,2,111,2902
11/21/17 0:00,11/22/17 0:00,270.024,2.404102695,1,158,5032.098522
11/22/17 0:00,11/23/17 0:00,0,0.371260599,2,0,1017
11/23/17 0:00,11/24/17 0:00,260.1768845,2.677077301,1,94,5779.730734
11/24/17 0:00,11/25/17 0:00,420.3721155,4.917793812,4,185,11089
11/25/17 0:00,11/26/17 0:00,160.844,1.924609652,7,183,4252.666888
11/26/17 0:00,11/27/17 0:00,412.439,4.942184113,11,120,10651.05243
11/27/17 0:00,11/28/17 0:00,177.875,2.143196754,6,125,4453
11/28/17 0:00,11/29/17 0:00,0,0.046426884,0,0,122
11/29/17 0:00,11/30/17 0:00,0.029,0.963148842,4,116,2393
11/30/17 0:00,12/1/17 0:00,0,0.926876017,1,0,2415
12/1/17 0:00,12/2/17 0:00,0,0.049336805,0,0,132
12/2/17 0:00,12/3/17 0:00,0.101,0.021445533,0,171,58
12/3/17 0:00,12/4/17 0:00,0,0.07412536,1,0,185
12/4/17 0:00,12/5/17 0:00,331.488,2.597486539,10,155,5442.242307
12/5/17 0:00,12/6/17 0:00,0,1.706849982,3,0,4744
12/6/17 0:00,12/7/17 0:00,305.012,2.597153228,5,115,5388.093003
12/7/17 0:00,12/8/17 0:00,104.07,1.215241247,1,136,2569.980137
12/8/17 0:00,12/9/17 0:00,372.7539577,4.404003815,5,152,9684.358113
12/9/17 0:00,12/10/17 0:00,344.7430423,5.617606177,2,139,12668.40481
12/10/17 0:00,12/11/17 0:00,0,0.577484221,0,0,1402.028882
12/11/17 0:00,12/12/17 0:00,0,2.515302917,7,0,6509.065181
12/12/17 0:00,12/13/17 0:00,0,1.794193313,9,0,4563.096016
12/13/17 0:00,12/14/17 0:00,1.528,0.479411445,0,0,1179.773476
12/14/17 0:00,12/15/17 0:00,200.451,2.31119572,0,126,4931.584198
12/15/17 0:00,12/16/17 0:00,596.015,5.192965888,5,125,11161.52293
12/16/17 0:00,12/17/17 0:00,0,2.212936829,8,0,5428.477069
